date,season,id_plant,sample_type,light_exposure,site,Vol extraccion sac (ml),# de hojas,Vol_resusp (ml),Vol_final_pocillo_sac_(ml),Vol sacarosa (ml),Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Sac 02-01,Sac_rep_02-01,Promedio sacarosa,Aplicando la recta sacarosa_um_ml,ug_sac_ml,ug_C_ml,ug_C_MUESTRA (sin descontar lo usado para medir),ug_C_MUESTRA (descontando lo usado para medir),mg C capsulitas analisis isotopos
20230831,summer,1,SPH,shade_low,artikutza,10,,,0.25,0.11,0.582,0.592,2.4814,2.5444,1.8994,1.9524,1.9259,1.031665085,353.1389585,148.3183626,1483.183626,1450.553586,0.296636725
20230831,summer,2,SPH,shade_low,artikutza,10,,,0.25,0.11,0.463,0.461,1.6878,1.6736,1.2248,1.2126,1.2187,0.652832566,223.4645873,93.85512667,938.5512667,917.9031388,0.187710253
20230831,summer,3,SPH,shade_low,artikutza,10,,,0.25,0.11,0.483,0.48,2.0068,1.9776,1.5238,1.4976,1.5107,0.80925097,277.0066071,116.342775,1163.42775,1137.832339,0.23268555
20230831,summer,6,SPH,shade_low,artikutza,10,,,0.25,0.11,0.738,0.763,3.2858,3.3374,2.5478,2.5744,2.5611,1.371928682,469.6111878,197.2366989,1972.366989,1928.974915,0.394473398
20230831,summer,4,SPH,shade_low,artikutza,10,,,0.25,0.11,0.467,0.479,1.9734,2.0078,1.5064,1.5288,1.5176,0.812947158,278.2718123,116.8741612,1168.741612,1143.029296,0.233748322
20230831,summer,1,BPH,shade_low,artikutza,10,,,0.25,0.11,0.898,0.892,2.4652,2.507,1.5672,1.615,1.5911,0.852319599,291.7489988,122.5345795,1225.345795,1198.388188,0.245069159
20230831,summer,2,BPH,shade_low,artikutza,10,,,0.25,0.11,1.037,1.036,3.3482,3.371,2.3112,2.335,2.3231,1.244436969,425.9707744,178.9077252,1789.077252,1749.717553,0.35781545
20230831,summer,3,BPH,shade_low,artikutza,10,,,0.25,0.11,0.758,0.771,2.9116,2.961,2.1536,2.19,2.1718,1.163388665,398.2279402,167.2557349,1672.557349,1635.761087,0.33451147
20230831,summer,6,BPH,shade_low,artikutza,10,,,0.25,0.11,1.017,1.066,3.383,3.463,2.366,2.397,2.3815,1.27572065,436.6791784,183.4052549,1834.052549,1793.703393,0.36681051
20230831,summer,4,BPH,shade_low,artikutza,10,,,0.25,0.11,0.731,0.737,2.3756,2.4418,1.6446,1.7048,1.6747,0.897102403,307.0781524,128.972824,1289.72824,1261.354219,0.257945648
20230830,summer,1,LPH,shade_low,bertiz,5,10,0.5,0.25,0.015,0.268,0.276,0.274833333,0.283166667,0.006833333,0.007166667,0.007,0.027498213,9.412638179,3.953308035,1.976654017,1.858054776,
20230830,summer,2,LPH,shade_low,bertiz,5,10,0.5,0.25,0.015,0.269,0.273,0.276,0.281666667,0.007,0.008666667,0.007833333,0.030771809,10.53319034,4.423939944,2.211969972,2.079251774,
20230830,summer,3,LPH,shade_low,bertiz,5,10,0.5,0.25,0.015,0.287,0.29,0.298,0.301166667,0.011,0.011166667,0.011083333,0.043538837,14.90334378,6.259404389,3.129702194,2.941920063,
20230830,summer,4,LPH,shade_low,bertiz,5,10,0.5,0.25,0.015,0.285,0.285,0.323,0.32,0.038,0.035,0.0365,0.143383537,49.08018479,20.61367761,10.30683881,9.688428477,
20230830,summer,5,LPH,shade_low,bertiz,5,10,0.5,0.25,0.015,0.278,0.282,0.314166667,0.317833333,0.036166667,0.035833333,0.036,0.141419379,48.40785349,20.33129847,10.16564923,9.555710279,
20230830,summer,6,LPH,shade_low,bertiz,5,10,0.5,0.25,0.015,0.295,0.296,0.312,0.3155,0.017,0.0195,0.01825,0.071691769,24.54009239,10.30683881,5.153419403,4.844214239,
20230830,summer,1,BPH,shade_low,bertiz,10,,,0.25,0.11,1.194,1.235,3.4848,3.553,2.2908,2.318,2.3044,1.234419763,422.5418848,177.4675916,1774.675916,1735.633046,0.354935183
20230830,summer,2,BPH,shade_low,bertiz,10,,,0.25,0.11,1.913,1.912,3.99,3.983,2.077,2.071,2.074,1.110999214,380.2950308,159.7239129,1597.239129,1562.099869,0.319447826
20230830,summer,3,BPH,shade_low,bertiz,10,,,0.25,0.11,2.387,2.493,4.004,4.0234,1.617,1.5304,1.5737,0.842998777,288.5584812,121.1945621,1211.945621,1185.282817,0.242389124
20230830,summer,4,BPH,shade_low,bertiz,10,,,0.25,0.11,0.898,0.926,2.7966,2.859,1.8986,1.933,1.9158,1.026254722,351.2869913,147.5405364,1475.405364,1442.946446,0.295081073
20230830,summer,5,BPH,shade_low,bertiz,10,,,0.25,0.11,0.861,0.897,2.2258,2.2956,1.3648,1.3986,1.3817,0.740148319,253.3527696,106.4081632,1064.081632,1040.671836,0.212816326
20230830,summer,6,BPH,shade_low,bertiz,10,,,0.25,0.11,0.828,0.852,3.6986,3.7182,2.8706,2.8662,2.8684,1.536542982,525.9586627,220.9026383,2209.026383,2160.427803,0.441805277
20230830,summer,1,SPH,shade_low,bertiz,10,,,0.25,0.11,0.632,0.648,2.5744,2.6394,1.9424,1.9914,1.9669,1.053627943,360.6568448,151.4758748,1514.758748,1481.434056,0.30295175
20230830,summer,2,SPH,shade_low,bertiz,10,,,0.25,0.11,0.633,0.638,2.5776,2.6002,1.9446,1.9622,1.9534,1.04639627,358.1814432,150.4362061,1504.362061,1471.266096,0.300872412
20230830,summer,3,SPH,shade_low,bertiz,10,,,0.25,0.11,0.568,0.59,2.4134,2.4974,1.8454,1.9074,1.8764,1.005148951,344.0624859,144.5062441,1445.062441,1413.271067,0.289012488
20230830,summer,4,SPH,shade_low,bertiz,10,,,0.25,0.11,0.432,0.444,1.3606,1.39,0.9286,0.946,0.9373,0.502092364,171.8662162,72.1838108,721.838108,705.9576696,0.144367622
