"","date","precip_mm","temperatura_maxima","temperatura_minima","temp_air_celcius"
"2829",2007-10-01,4.5,25,16,20.5
"2830",2007-10-02,1.7,21,16,18.5
"2831",2007-10-03,3,20.5,16,18.25
"2832",2007-10-04,32.5,21,15,18
"2833",2007-10-05,11.3,21,15,18
"2834",2007-10-06,0,17,15,16
"2835",2007-10-07,0.8,21,15,18
"2836",2007-10-08,5.8,17,15,16
"2837",2007-10-09,2.4,17,14,15.5
"2838",2007-10-10,14.6,16,12,14
"2839",2007-10-11,0,16.5,12,14.25
"2840",2007-10-12,0,17,11,14
"2841",2007-10-13,0,20,11,15.5
"2842",2007-10-14,0,21,8,14.5
"2843",2007-10-15,0,21,8,14.5
"2844",2007-10-16,0,21,9,15
"2845",2007-10-17,1.9,21,9,15
"2846",2007-10-18,0,17,10,13.5
"2847",2007-10-19,0,17,9,13
"2848",2007-10-20,0,17,6,11.5
"2849",2007-10-21,0,17,4,10.5
"2850",2007-10-22,0,16,3,9.5
"2851",2007-10-23,8.5,12.5,4,8.25
"2852",2007-10-24,0,13,10,11.5
"2853",2007-10-25,0,9,9,9
"2854",2007-10-26,0,13,7,10
"2855",2007-10-27,0,13,6,9.5
"2856",2007-10-28,0,17,4,10.5
"2857",2007-10-29,11.2,9,4,6.5
"2858",2007-10-30,1.3,12,5,8.5
"2859",2007-10-31,0,13,7,10
"2860",2007-11-01,0,13,4,8.5
"2861",2007-11-02,0,13,4,8.5
"2862",2007-11-03,0,13,7,10
"2863",2007-11-04,0,11,8.5,9.75
"2864",2007-11-05,0,14.5,11,12.75
"2865",2007-11-06,0,13,9,11
"2866",2007-11-07,0,13,5,9
"2867",2007-11-08,0,13,3,8
"2868",2007-11-09,0,13,4,8.5
"2869",2007-11-10,0,13,3,8
"2870",2007-11-11,0,13,1,7
"2871",2007-11-12,0,13,1,7
"2872",2007-11-13,5.7,13,5,9
"2873",2007-11-14,4.4,11,8,9.5
"2874",2007-11-15,0,9,4,6.5
"2875",2007-11-16,0,5,-3.5,0.75
"2876",2007-11-17,0,9,-6,1.5
"2877",2007-11-18,0,13,-6,3.5
"2878",2007-11-19,3.1,13,0,6.5
"2879",2007-11-20,9.8,17,9,13
"2880",2007-11-21,0,16,5,10.5
"2881",2007-11-22,5.9,13,4,8.5
"2882",2007-11-23,4.4,13,7,10
"2883",2007-11-24,0,13,6,9.5
"2884",2007-11-25,7.6,8,-2,3
"2885",2007-11-26,0,8,7,7.5
"2886",2007-11-27,0,9,3,6
"2887",2007-11-28,0,9,2,5.5
"2888",2007-11-29,0,9,4,6.5
"2889",2007-11-30,0,9,1,5
"2890",2007-12-01,5.5,8,2,5
"2891",2007-12-02,5.9,13,4.5,8.75
"2892",2007-12-03,22.8,12,4,8
"2893",2007-12-04,0,17,10,13.5
"2894",2007-12-05,0,17,2.5,9.75
"2895",2007-12-06,0,16,4,10
"2896",2007-12-07,13.5,8,4.5,6.25
"2897",2007-12-08,11.9,12.5,6,9.25
"2898",2007-12-09,27,12.5,8,10.25
"2899",2007-12-10,28.3,9,8,8.5
"2900",2007-12-11,0,9,4,6.5
"2901",2007-12-12,0,8.5,0,4.25
"2902",2007-12-13,0,5,-2,1.5
"2903",2007-12-14,0,9,-2,3.5
"2904",2007-12-15,0,4.5,0,2.25
"2905",2007-12-16,0,9,-3,3
"2906",2007-12-17,1.1,9,-4,2.5
"2907",2007-12-18,0,9,-2,3.5
"2908",2007-12-19,0,12,4,8
"2909",2007-12-20,0,12.5,6,9.25
"2910",2007-12-21,0,16.5,7,11.75
"2911",2007-12-22,0,13,6,9.5
"2912",2007-12-23,0,13,0,6.5
"2913",2007-12-24,0,9,4,6.5
"2914",2007-12-25,2.3,13,0,6.5
"2915",2007-12-26,0,9,2,5.5
"2916",2007-12-27,0,6,1,3.5
"2917",2007-12-28,0,9,-3,3
"2918",2007-12-29,7.3,6,-2,2
"2919",2007-12-30,2.7,9,5,7
"2920",2007-12-31,0,8,0,4
"2921",2008-01-01,0,11,-2,4.5
"2922",2008-01-02,0.3,10,0,5
"2923",2008-01-03,1,12,4,8
"2924",2008-01-04,2.3,13,2,7.5
"2925",2008-01-05,5,11,4,7.5
"2926",2008-01-06,0,17,6,11.5
"2927",2008-01-07,1.6,10,7,8.5
"2928",2008-01-08,3,13,7,10
"2929",2008-01-09,0.2,13,8,10.5
"2930",2008-01-10,0,14,6,10
"2931",2008-01-11,35.8,13,9,11
"2932",2008-01-12,17.4,8,4,6
"2933",2008-01-13,0,10,4,7
