INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,NOM_PROV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31
1002E,1994,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,140,211,27,4,0,0,74,142,23,158,0,0,0,44,120,0,0,0,0,0,0,0,0,0,0,0,0,0,,067X,067X,011X,011X,011X,011X067X,,067X,011X,011X,011X,011X,057X,057X067X,067X,011X057X067X,011X,057X,057X067X,067X,067X,067X,067X,067X,067X,067X,067X,057X067X,067X,067X,
1002E,1994,12,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,15,0,28,0,55,18,0,0,12,0,0,0,0,95,195,341,462,21,0,0,0,0,0,0,0,133,262,067X,,,067X,011X,,011X067X,067X,011X067X,011X,,067X,011X067X,057X,067X,057X067X,057X067X,011X067X,011X,011X,011X,011X,,067X,057X067X,057X067X,077X,077X,067X,011X067X,011X
1002E,1995,1,SEÑORIO DE BERTIZ,146,NAVARRA,238,64,0,0,347,279,0,245,89,133,531,0,0,0,0,0,189,51,16,56,0,0,85,5,0,68,12,17,128,25,0,011X021X,011X,067X,077X,011X077X,011X,077X,011X077X,011X,011X,011X,,077X,077X,077X,077X,011X,011X,011X077X,011X,077X,,011X,011X057X,067X,011X,011X057X,011X,011X067X,011X,067X
1002E,1995,2,SEÑORIO DE BERTIZ,146,NAVARRA,50,17,0,0,0,0,0,52,44,21,5,6,41,53,39,0,121,21,0,0,213,0,48,112,269,359,0,0,,,,011X077X,011X057X,057X067X,077X,057X067X,057X067X,057X077X,011X067X,011X,011X,011X057X067X,011X,011X,011X057X,011X067X,067X,011X,011X,067X,067X,011X067X,067X,011X077X,011X057X,011X,011X021X,057X,077X,,,
1002E,1995,3,SEÑORIO DE BERTIZ,146,NAVARRA,66,49,27,347,424,173,30,27,0,0,0,0,0,0,204,0,0,0,54,0,0,0,0,0,0,0,48,52,133,0,0,011X077X,011X,011X,011X,011X,011X,011X057X,011X,067X,,,067X,067X,057X067X,011X057X,,067X,067X,011X067X,,077X,077X,,077X,057X,067X,011X067X,011X,011X,077X,077X
1002E,1995,4,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,31,111,43,69,136,145,81,31,2,0,0,0,,077X,067X,067X,067X,057X067X,067X,067X,067X,057X067X,067X,067X,067X,067X,067X,067X,011X,,067X,011X067X,011X,011X,011X067X,011X,011X,011X,011X,011X067X,,067X,067X,
1002E,1995,5,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,78,317,53,22,71,177,0,19,0,0,0,0,0,18,0,0,0,0,27,96,82,067X,067X,067X,067X,067X,067X,067X,067X,067X,067X,011X031X067X,011X,011X,011X057X067X,011X,011X,067X,011X,067X,067X,067X,067X,,011X,,067X,067X,067X,011X067X,011X,011X
1002E,1995,6,SEÑORIO DE BERTIZ,146,NAVARRA,10,11,0,0,0,0,0,10,20,12,31,3,0,0,0,0,0,0,38,0,0,0,0,0,0,13,0,0,0,3,,011X,011X,,067X,067X,067X,067X,011X067X,011X,011X,011X,011X,067X,067X,067X,067X,067X,067X,011X041X067X,,067X,,,067X,,011X,,067X,,011X,
1002E,1995,7,SEÑORIO DE BERTIZ,146,NAVARRA,306,61,102,79,2,0,0,0,7,16,0,0,38,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,011X,011X,011X,011X,011X,067X,067X,067X,011X067X,011X,,067X,011X067X,067X,011X067X,,067X,,,067X,,,,067X,067X,067X,,,067X,,011X
1002E,1995,8,SEÑORIO DE BERTIZ,146,NAVARRA,143,0,0,6,0,0,83,2,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,58,12,23,0,3,0,0,0,011X041X,,,011X,,,011X,011X,067X,,067X,,011X,,,067X,,,067X,,011X,,,011X067X,011X,011X,,011X,067X,067X,067X
